source_id,product_name,active_ingredient,registration_number,date_registered,reg_expiry,presentation,country,state,applicant,manufacturer,needs_review,source_file,retrieval_date
RAW_nafdac-approved-pesticides-in-nigeria_cf7c320e,ACETELLIC 25 EC LIQUID,PRIMIPHOS METHYL 250G.LITRE,A5-0206,05/04/2009,05/03/2014,1 LITRE/BOTTLE,SWITZ ER LAND,,"SYNGENTA NIG ERIA LTD 387 AGEGE MOTOR ROAD,MUSHIN LAGOS","SYNGENTA CROP PROTECTIOJN AG,BASLE",False,raw/manual/nafdac-approved-pesticides-in-nigeria.pdf,2026-08-02
RAW_nafdac-approved-pesticides-in-nigeria_cf7c320e,ACTARA® 25 WG,250G THIAMETHOXAM/KG,04-9192,08/29/2006,08/28/2011,1KG/BAG,SWITZ ER LAND,,SYNGNETA NIGERIA LIMITED. 387 AGEGE M OTOR ROAD MUSHIN LAGOS,SYNGENTA CROP PROTECTION A G BASLE SWITZERLAND,False,raw/manual/nafdac-approved-pesticides-in-nigeria.pdf,2026-08-02
RAW_nafdac-approved-pesticides-in-nigeria_cf7c320e,ACTELLIC,PRIMIPHOSMETHYL-250G/L,04-5154,03/05/2004,03/04/2009,25EC (1L),SWITZ ER LAND,,"SYNGENTA NIG. LTD. 387, AGEGE MOTOR RD. MUSHIN LAGOS","SYNGENTA CROP PROTECTION A G BASLE, SWITZERLAND",False,raw/manual/nafdac-approved-pesticides-in-nigeria.pdf,2026-08-02
RAW_nafdac-approved-pesticides-in-nigeria_cf7c320e,ACTFORCE,CHLORPYRIFOS 20%,A5-0110,02/29/2008,02/27/2013,"100ML,1L/BOTT LE(CHAN GE OF SOURCE)",CHINA,,"JUBAILI AGROTEC LIM ITED KM 10 GUNDUWAWA HADEJIA ROAD,KANO",HUBEI SANONDA CO. LTD NV 93 EAST BEIJING ROAD JINGZHOU HUBEI CHINA FPRMERLY SINO HUNAN HAILI CHANGD E,False,raw/manual/nafdac-approved-pesticides-in-nigeria.pdf,2026-08-02
RAW_nafdac-approved-pesticides-in-nigeria_cf7c320e,ACTION 40,DIMETHOATE 40% W/W,A5-0164,12/02/2008,12/01/2013,1 L/BOTTLE (CHANGE OF SOURCE),CHINA,,"AFRICAN AGRO PRODUCT S 37, NIGER STREET, KANO","PESTICIDE CHEMIC ALS CO., LTD SUJIADU, DESHAN, CHANGDE, B HTH HA R YACA A-3T AI NN ,IDS DE D4C IT TI .C I MDE L AD A I1 A4 2 3 I F",False,raw/manual/nafdac-approved-pesticides-in-nigeria.pdf,2026-08-02
RAW_nafdac-approved-pesticides-in-nigeria_cf7c320e,ACTION 40 AGO IN SECTICIDES SPRAY,DIMETHOATE 40% DICHLORVOS ~1%,04-6213 A5-0089L,11/02/2004 01/31/2008,11/01/2009 01/30/2010,1L BOTTLE 100ML/PLSTI C CONTAINER,INDIA NIGERIA,LAG,"A LTF DR I 3C 7A ,NN GA EG RR O P RR EO ED TU KC AT NS I ST O FINEBROS LTD 45,OWO DE STREET OFF BAKARE, ORIOLA ALAPERE,KETU,L AGOS INSIS LTD 3 ARE",B A D U R H S R N N SAME AS APPLICANT,True,raw/manual/nafdac-approved-pesticides-in-nigeria.pdf,2026-08-02
RAW_nafdac-approved-pesticides-in-nigeria_cf7c320e,AGRIZEB 80WP POWDER,MANCOZEB 800GM/KG,A5-0221,07/17/2009,07/16/2014,25 KG/BAG,BELGIUM,,"AVENUE,BODIJA IBADAN,OYO STATE","CHIMAC AGRIPHAR S.A RUE DE RENORY ,26 B-4102 OUGREE",False,raw/manual/nafdac-approved-pesticides-in-nigeria.pdf,2026-08-02
RAW_nafdac-approved-pesticides-in-nigeria_cf7c320e,AL-CYPERNET 10SC,ALPHA CYPERMETHRIN 100G/L,04-3122,07/31/2008,07/30/2013,1 LITRE/BOTTLE,UNITED KI NGDO M,,"HARVESTFIELD INDUSTR Y LIMITED.1 ISHERI ROAD OLOWORA JUNCTION B / STOP, OMOLE PHASE II","SUB MICRON INDUSTRIES LIMITED, UNIT 74 - 76 SPA FIELD S INDUSTRIAL ESTATE",False,raw/manual/nafdac-approved-pesticides-in-nigeria.pdf,2026-08-02
RAW_nafdac-approved-pesticides-in-nigeria_cf7c320e,ALL O UT RED MOSQUITO COILS A ANPL LSRP PEIH CA A- S HN AG PIM OCE TDTT H R WIN A L P H A EI O 0N I T C SI A L P H A C E T 1 P,ESBIOTHRIN 0.1% A 0L 0P H KA C- C YYY PPP EEE RRR MMM EEE TTT HHH RRR NI INN 1 10 L% HE A.C A L P H A C II 1 0 0 PG E/ /L A L P H A - C Y P E R M E T H R N 1 0 % C A G G,04-9740 0 04 5- -9 01 09 23 A 45 -- 90 51 56 36 A 9,11/03/2006 0 18 1/ /2 09 3/ /2 20 00 06 1 2 / 0 2 / 2 0 0 8 0 6 / 2 9 / 2 0 0 7 6,11/02/2011 0 18 1/ /2 08 2/ /2 20 01 11 1 2 / 0 1 / 2 0 1 3 0 6 / 2 7 / 2 0 1 2 1,120GM/PACK 1 2L 5I IT GOR /STE AT/ /B CO T ET TL E 1 L ./ B BL OE 1 L T R E T T L E 6 H,NIGERIA I UN KD I IA I N D I A I N D A,OGU,"MERCHANT INVESTORS LTD 63,ENU-OWA STREET,LAGOS S 2P NR -AEI RN OSNG STF I GE IIL GD TA ODG AR HDO NL T ,D . A AAF DP R 1I SLTP AR OE JSILLM ISI LS PE ,OS O, PP SOL O T 1 U2 E2 R- 1 G3 E2 O WS IH EEO D I AA P AA EP IA E HTX AGP C. VW UA ASY I, IAOS OO L IIO L OG S T H R SE EEE K A HY I NN 2T R 2N OA YN RDUA SL C AO CC AE OP RT 6 3 , J N M RO IS T R SE OTT L, B GR OI 3G A , DO A F C RO T T N RG E AR PP L C P L ET 1 1 - A A E X P S , CO GL LO MO, L H A 2S ,T F N U R EI AS L . I H E , W O J T I O N B / P K T E N L NIGERIA LTD KM 5,DA KATA INDUSTRIAL LAYOUT","LTD. PLOT 3/4 BLOCK XIV, OTA INDUSTRIAL ESTATE IDIROKO ROA D, D GE MV O3I RD EA SOCY A PL R( LS IA L PE ,LS 2) L ATI AM EI OT NE AADD A5 I0 T/ I/A GIG CI D EC E S ST GA LPT BE (D A5E LR DO .L G4- IK A EL O TL 3 SS8 M9 J3 P0 I S T I. D E V I D A Y A ( S A L ) L I I T E D . N0 A OG A-D C E S T A T , D E R O L K A L O L D RI T A SN OC NH DM .AA H DA I 4O US A ) A TR C 0H E LM I DC L S NEP TV L TD P. R6 T, RG O. T. C P TA N O L I G U AA R A S A F S T A AE D A O O H P E U H E P A",True,raw/manual/nafdac-approved-pesticides-in-nigeria.pdf,2026-08-02
RAW_nafdac-approved-pesticides-in-nigeria_cf7c320e,ALPRON PLUS 60 SD,205 CYPERMETHRINE,04-7031,03/31/2005,03/30/2010,1 X 15 SACHE TS 12G/SACHET,NIGERIA,KAN,,,False,raw/manual/nafdac-approved-pesticides-in-nigeria.pdf,2026-08-02
